arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,4,39,0.2384316659814993,0.6216610887435832,0.7467758843462785,0.568828973345308
DeepSleepNet,4,40,0.23473849796555327,0.5914293875270322,0.7049903703161949,0.5198435406539621
DeepSleepNet,4,41,0.2320009096339525,0.6279431122266633,0.7456544528145493,0.5740876698412483
DeepSleepNet,4,42,0.22799130569716322,0.6112786727526305,0.7307345376532827,0.5506074961734844
DeepSleepNet,4,43,0.22370190340638102,0.6322347291297359,0.7549428313708282,0.5841590323442738
DeepSleepNet,4,44,0.21938392341345997,0.6332596829090603,0.7599892732636095,0.5903516782463185
DeepSleepNet,4,45,0.21765619291449492,0.6470751563092791,0.7693264097125723,0.6028140111568472
DeepSleepNet,4,46,0.21272278408577144,0.6512390465698136,0.7743728516053536,0.6102066979037272
DeepSleepNet,4,47,0.21103802506271688,0.6135892342966184,0.7280528535556693,0.5483005031810214
DeepSleepNet,4,48,0.2099745184377766,0.6441848404503446,0.7657427046003071,0.5991646351747273
DeepSleepNet,4,49,0.20576800301087092,0.6715609939964449,0.7955093980838148,0.6417258804374932
DeepSleepNet,4,50,0.2021179979114672,0.6513143762489323,0.763377946805139,0.5968425508583028
DeepSleepNet,5,1,0.8477122074768585,0.335901246988081,0.22643231604568434,0.144193265160675
DeepSleepNet,5,2,0.5868014464886852,0.3695544698905873,0.2825079573113649,0.18253157453855684
DeepSleepNet,5,3,0.5319771556915708,0.39403712475223696,0.34487923609810894,0.2093600509928919
DeepSleepNet,5,4,0.49890333218391303,0.46146367220762297,0.4536369593709043,0.29434300490143417
DeepSleepNet,5,5,0.4748933402756193,0.40810868990167337,0.3822317917992885,0.24058104678965675
DeepSleepNet,5,6,0.45470509094689837,0.4335222164376654,0.48626193596704737,0.3021796479025476
DeepSleepNet,5,7,0.43971344645240196,0.5103956988554941,0.5588841041003557,0.3676404335960012
DeepSleepNet,5,8,0.42658015588798526,0.5303631102939681,0.5761327466766523,0.390010185756534
DeepSleepNet,5,9,0.414312367497831,0.5146194618471333,0.5594457966672908,0.37787190525350034
DeepSleepNet,5,10,0.40450620384531727,0.540561315652016,0.6264276352742932,0.43802433095772564
DeepSleepNet,5,11,0.39456170149408426,0.5224406453880379,0.6226596143044374,0.4303673444774748
DeepSleepNet,5,12,0.3849577892477468,0.5858555201303062,0.6580930537352556,0.474159449497324
DeepSleepNet,5,13,0.37777896908543107,0.5301203250080401,0.5611542782250515,0.37301552525939907
DeepSleepNet,5,14,0.3700800147704809,0.5914688765127165,0.6994710728328029,0.5212461941884051
DeepSleepNet,5,15,0.3616689171439131,0.5413623114613524,0.6138831679460776,0.4306245916986329
DeepSleepNet,5,16,0.3525769602695792,0.6038766146148019,0.7283748361730014,0.5559702565312987
DeepSleepNet,5,17,0.3491301551816354,0.5751805055973346,0.67021625163827,0.4839516308734827
DeepSleepNet,5,18,0.3432332820581555,0.5633680830731455,0.64779535667478,0.46487423531134686
DeepSleepNet,5,19,0.33556313486588607,0.5830223676527116,0.7398661299382138,0.5632125997562909
